cust_id,kabupaten,provinces_name,is_bad_cust,first_bu,second_bu,first_lob,second_lob,first_asset_price,second_asset_price,first_asset_year,second_asset_year,first_go_live_date,second_go_live_date,cust_gender,cust_job,cust_age
custid_22467, SERUYAN,KALIMANTAN TENGAH,1,BU_B,BU_B,NCF,NCF,473000000,473000000,2019,2019,2019-12-03 17:00:00,2020-01-01 17:00:00,MALE,PENGUSAHA,26
custid_22468, NAGAN RAYA,ACEH,0,BU_C,BU_B,NMC,UCF,17000000,170000000,2018,2008,2018-04-08 17:00:00,2020-03-15 17:00:00,MALE,OTHERS,44
custid_22469, DENPASAR,BALI,0,BU_B,BU_B,NCF,NCF,434000000,434000000,2020,2020,2020-10-23 17:00:00,2020-10-23 17:00:00,MALE,PENGUSAHA,20
custid_22470, SAMARINDA,KALIMANTAN TIMUR,0,BU_B,BU_B,NCF,NCF,265000000,483000000,2018,2019,2019-01-21 17:00:00,2020-02-26 17:00:00,MALE,PENGUSAHA,31
custid_22471, DEPOK,JAWA BARAT,0,BU_B,BU_B,NCF,NCF,131000000,535000000,2019,2019,2020-01-20 17:00:00,2020-03-03 17:00:00,MALE,PENGUSAHA,25
custid_22472, KOTAWARINGIN TIMUR,KALIMANTAN TENGAH,0,BU_B,BU_B,NCF,NCF,492000000,492000000,2020,2020,2020-12-09 17:00:00,2020-12-09 17:00:00,MALE,PNS,45
custid_22473, MEDAN,SUMATERA UTARA,0,BU_B,BU_B,NCF,NCF,347000000,347000000,2019,2019,2019-03-25 17:00:00,2019-03-25 17:00:00,MALE,PEG SWASTA,32
custid_22474, LABUHAN BATU,SUMATERA UTARA,1,BU_B,BU_B,NCF,NCF,351000000,397000000,2017,2018,2018-02-04 17:00:00,2018-10-26 17:00:00,MALE,OTHERS,35
custid_22475, PESISIR SELATAN,SUMATERA BARAT,1,BU_B,BU_B,NCF,NCF,219000000,223000000,2019,2020,2019-06-17 17:00:00,2020-03-23 17:00:00,MALE,PENGUSAHA,35
custid_22476,,SUMATERA BARAT,0,BU_B,BU_B,NCF,NCF,335000000,386000000,2018,2019,2018-11-04 17:00:00,2019-12-12 17:00:00,MALE,PENGUSAHA,23
custid_22477, INDRAMAYU,JAWA BARAT,1,BU_B,BU_B,NCF,NCF,157000000,202000000,2018,2019,2018-05-13 17:00:00,2019-04-25 17:00:00,FEMALE,PENGUSAHA,47
custid_22478, BANJARMASIN,KALIMANTAN SELATAN,0,BU_C,BU_A,NMC,NCF,33000000,194000000,2020,2021,2020-11-05 17:00:00,2021-06-11 17:00:00,FEMALE,PENGUSAHA,27
custid_22479, BADUNG,BALI,1,BU_C,BU_B,NMC,NCF,36000000,166000000,2019,2020,2020-11-27 17:00:00,2021-02-24 17:00:00,FEMALE,PENGUSAHA,29
custid_22480, TANGERANG,BANTEN,0,BU_C,BU_A,NMC,NCF,36000000,221000000,2020,2020,2020-07-05 17:00:00,2021-04-09 17:00:00,FEMALE,HOUSEWIFE,47
custid_22481, JAKARTA TIMUR,DKI JAKARTA,1,BU_B,BU_B,NCF,UCF,289000000,150000000,2019,2008,2019-12-05 17:00:00,2020-01-16 17:00:00,MALE,PEG SWASTA,21
custid_22482, BEKASI,JAWA BARAT,0,BU_B,BU_B,NCF,NCF,513000000,1689000000,2018,2019,2019-03-04 17:00:00,2019-12-08 17:00:00,MALE,PEG SWASTA,50
custid_22483, PADANG,SUMATERA BARAT,1,BU_B,BU_B,UCF,UCF,134000000,176000000,2008,2013,2018-01-31 17:00:00,2019-10-17 17:00:00,MALE,PENGUSAHA,36
custid_22484, LANDAK,KALIMANTAN BARAT,0,BU_B,BU_B,NCF,UCF,114000000,120000000,2019,2014,2019-09-11 17:00:00,2019-10-13 17:00:00,MALE,PENGUSAHA,39
custid_22485, BANDUNG,JAWA BARAT,0,BU_C,BU_B,NMC,NCF,18000000,227000000,2020,2020,2020-01-23 17:00:00,2020-09-20 17:00:00,MALE,PENGUSAHA,42
custid_22486, DENPASAR,BALI,0,BU_C,BU_A,NMC,NCF,36000000,256000000,2019,2021,2020-01-30 17:00:00,2021-12-26 17:00:00,MALE,PENGUSAHA,49
custid_22487, TASIKMALAYA,JAWA BARAT,0,BU_B,BU_B,UCF,UCF,183000000,105000000,2009,2012,2019-01-31 17:00:00,2021-03-17 17:00:00,MALE,PENGUSAHA,49
custid_22488, BANJAR,KALIMANTAN SELATAN,0,BU_C,BU_B,NMC,NCF,20000000,225000000,2019,2019,2019-06-14 17:00:00,2019-06-19 17:00:00,MALE,PENGUSAHA,24
custid_22489, BANDUNG,JAWA BARAT,0,BU_B,BU_B,UCF,UCF,140000000,150000000,2006,2000,2018-02-26 17:00:00,2018-04-22 17:00:00,MALE,PENGUSAHA,42
custid_22490, TANGERANG,BANTEN,0,BU_B,BU_B,UCF,UCF,115000000,80000000,2007,2005,2020-06-24 17:00:00,2021-07-26 17:00:00,MALE,PEG SWASTA,24
custid_22491, GOWA,SULAWESI SELATAN,1,BU_C,BU_A,NMC,NCF,21000000,253000000,2020,2021,2020-06-29 17:00:00,2021-12-18 17:00:00,MALE,PEG SWASTA,38
custid_22492, GIANYAR,BALI,1,BU_C,BU_B,NMC,UCF,36000000,155000000,2019,2017,2019-08-13 17:00:00,2020-03-06 17:00:00,MALE,PEG SWASTA,30
custid_22493, TANGERANG,BANTEN,0,BU_C,BU_A,NMC,NCF,35000000,223000000,2020,2021,2020-09-15 17:00:00,2021-11-29 17:00:00,MALE,DOKTER,29
custid_22494, JAKARTA SELATAN,DKI JAKARTA,0,BU_B,BU_B,NCF,UCF,1300000000,1850000000,2019,2018,2020-10-08 17:00:00,2021-05-02 17:00:00,MALE,PENGUSAHA,24
